f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp
Duong,Jesty,F,443,211-9840,CLEAR SPRING,MD,1907,S,Y,60000,4.75,2400,0,2400
Duri,Anido,M,302,750-2687,DOVER,DE,1907,S,N,50000,5.268182,110,0,0
Sape,Thistlewaite,F,334,814-8177,BIRMINGHAM,AL,1907,M,N,90000,5,0,3000,0
Ferran,Mozdzynski,F,574,651-6253,BRYANT,IN,1907,S,N,45000,3.4,1000,0,0
Ryosuke,Basawa,F,651,958-7804,BUTTERFIELD,MN,1907,M,N,65000,7.724066,0,6600,0
Shibin,Denna,F,785,734-4771,PARTRIDGE,KS,1907,S,N,5000,3.5,2250,0,0
Huaiqing,Heberlein,M,702,756-4985,ELKO,NV,1907,M,Y,5000,0,0,0,0
Houria,Tiskin,M,617,990-2563,ROCHESTER,MA,1907,S,N,60000,5.3,3575,0,0
Keizo,Choobineh,M,973,156-5521,LUMBERTON,NJ,1907,M,Y,30000,1.5577083,0,2000,1500
Ardaman,Bhal,M,630,357-8581,ARROWSMITH,IL,1907,M,Y,45000,3,0,4000,2000
Raschid,Eilenberg,F,308,182-5135,OMAHA,NE,1907,M,N,85000,6.84,0,206,0
Stina,Doushou,M,308,725-4742,LINCOLN,NE,1907,S,Y,65000,6.84,103,0,103
Xiaoqiang,Klimesch,M,713,792-9552,BEDIAS,TX,1907,M,Y,90000,0,0,0,0
Abimbola,Fucik,F,615,764-5668,NUNNELLY,TN,1907,M,N,75000,0,0,0,0
Renato,Millo,F,541,946-3443,KLAMATH FALLS,OR,1907,S,Y,10000,9,159,0,159
Kate,Stanion,M,316,403-4067,WELLINGTON,KS,1907,S,Y,80000,6.45,2250,0,2250
Nami,Callen,M,618,870-9678,CALHOUN,IL,1907,S,N,80000,3,2000,0,0
Jen,Wijk,M,302,270-9962,ELLENDALE,DE,1907,M,N,45000,4.927273,0,220,0
Zuotao,Geniet,M,828,430-1689,BESSEMER CITY,NC,1907,M,N,50000,6.7814684,0,6600,0
Lofti,Lomanto,F,864,522-8993,CHARLESTON,SC,1907,M,Y,65000,7,0,6600,3300
Cemal,DuCasse,F,703,251-7277,EASTVILLE,VA,1907,S,Y,70000,5.75,900,0,900
Wubin,Itajima,M,541,479-2847,IRRIGON,OR,1907,M,N,90000,9,0,318,0
Ivailo,Gran,F,307,173-7177,SMOOT,WY,1907,S,N,45000,0,0,0,0
Aniruddha,Ertl,M,580,253-1595,SHADY POINT,OK,1907,S,Y,90000,6.25,1000,0,1000
Llorenc,Zaumen,M,351,239-4973,PLYMOUTH,MA,1907,S,N,15000,5.3,3575,0,0
Narjes,Sancho,M,864,834-2936,JACKSONBORO,SC,1907,M,Y,60000,7,0,6600,3300
Hilding,Blumrich,F,870,156-2469,SALEM,AR,1907,M,Y,75000,7,0,40,20
Jem,Klingspor,M,775,280-4029,MINDEN,NV,1907,M,Y,35000,0,0,0,0
Shuji,Deffuant,F,920,303-3900,APPLETON,WI,1907,M,N,20000,4.7939067,0,1400,0
Hazim,Eliens,M,563,752-8126,LUTHER,IA,1907,M,Y,50000,7.8829904,0,80,40
Vijayan,Takeoka,M,304,960-8221,CHARLESTON,WV,1907,S,N,40000,5.1000004,2000,0,0
Saku,Redd,F,203,559-4879,WEST HARTFORD,CT,1907,S,N,75000,5,12750,0,0
Anh,Brightwell,M,641,491-5266,IOWA CITY,IA,1907,S,N,20000,3.2516527,40,0,0
Charmane,Embury,F,808,230-9581,PAIA,HI,1907,S,Y,80000,8.25,1040,0,1040
Shinobu,Nuseibeh,M,802,696-4374,WEST CHARLESTON,VT,1907,M,N,55000,4.099376,0,6600,0
Pankaj,Grabow,M,701,423-8113,HAMPDEN,ND,1907,S,N,75000,2.6251287,3300,0,0
Jana,Manthey,M,504,372-5383,NEW ORLEANS,LA,1907,M,N,35000,6,0,9000,0
Arantza,Renshaw,F,304,724-9882,LYBURN,WV,1907,M,Y,35000,4.75,0,4000,2000
Gurbir,Urbano,M,843,120-8251,RICHBURG,SC,1907,M,Y,30000,7,0,6600,3300
Ashoka,Dratva,F,801,979-4438,SALT LAKE CITY,UT,1907,M,Y,40000,7,0,4950,2475
Sadeph,Yntema,M,304,312-3067,MAYSEL,WV,1907,M,Y,10000,3,0,4000,2000
Rowena,McGranaghan,M,401,708-5108,BRADFORD,RI,1907,S,Y,30000,0,0,0,0
Kyle,Tsiligaridis,M,501,610-5619,RISON,AR,1907,M,Y,85000,7,0,40,20
Leysia,Kossowski,M,603,259-4321,WILMOT,NH,1907,M,Y,25000,0,0,0,0
Zahidul,Czap,M,912,932-3339,ATLANTA,GA,1907,S,N,65000,6,2700,0,0
Luiza,Daszczuk,F,720,482-5629,LAZEAR,CO,1907,S,Y,55000,4.63,0,0,0
Henner,Ruthven,F,773,931-8680,EAST SAINT LOUIS,IL,1907,S,Y,95000,3,2000,0,2000
Lily,Luther,M,808,644-3404,NAALEHU,HI,1907,M,Y,65000,8.25,0,2080,1040
Claes,Hedger,M,304,973-3773,KINGWOOD,WV,1907,S,Y,95000,6.5,2000,0,2000
Yasuyoshi,Kinley,M,339,262-9792,NANTUCKET,MA,1907,S,N,30000,5.3,3575,0,0
Kyunghee,Yijun,F,808,164-1314,HONOLULU,HI,1907,M,Y,30000,6.447368,0,2080,1040
Dann,Schank,M,630,545-4449,SCHAUMBURG,IL,1907,S,N,10000,3,2000,0,0
Aitao,Reinhard,M,919,962-6616,CHARLOTTE,NC,1907,S,N,40000,6.571678,3300,0,0
Gitta,Cacciabue,F,701,233-9920,STIRUM,ND,1907,M,N,90000,2.7990127,0,6600,0
Puneet,Kaka,F,504,921-1278,BATON ROUGE,LA,1907,S,Y,100000,6,4500,0,1000
Burkhart,Vignes,F,603,760-3363,TROY,NH,1907,S,N,80000,0,0,0,0
Yifei,Kahl,M,208,645-6031,DINGLE,ID,1907,M,Y,70000,7.8,0,6600,3300
Karthick,Prunet,M,402,581-5264,PARKS,NE,1907,M,Y,95000,6.84,0,206,103
Gada,Ebanks,F,505,117-7749,ALBUQUERQUE,NM,1907,S,Y,55000,5.3,3300,0,3300
Peggy,Moustafa,M,225,497-6327,SHREVEPORT,LA,1907,S,Y,100000,6,4500,0,1000
Rance,Becraft,M,406,400-7102,HELENA,MT,1907,S,N,75000,6.9,1900,0,0
Munehiro,Semmens,F,816,208-5732,BEAUFORT,MO,1907,M,Y,70000,6,0,4200,1200
Shibin,Raufmann,F,256,938-3039,SYLACAUGA,AL,1907,M,N,60000,5,0,3000,300
Hazim,Vygen,M,808,140-2740,HONOLULU,HI,1907,M,Y,45000,8.25,0,2080,1040
Lasse,Crubille,M,435,376-8918,AXTELL,UT,1907,M,N,30000,7,0,4950,0
Arlene,Syed,M,401,486-9458,PRUDENCE ISLAND,RI,1907,S,N,50000,0,0,0,0
Shri,Nagasaki,F,435,323-6737,SALT LAKE CITY,UT,1907,M,Y,80000,7,0,4950,2475
Dentcho,Stancampiano,F,251,323-3878,CUSSETA,AL,1907,M,N,40000,5,0,3000,300
Takaaki,Treble,F,769,252-1376,GREENVILLE,MS,1907,M,Y,5000,3,0,12000,1500
Hiroaki,Botten,M,251,649-6540,BIRMINGHAM,AL,1907,S,N,55000,5,1500,0,300
Pintsang,Chauche,F,417,642-6699,CHERRYVILLE,MO,1907,M,Y,30000,6,0,4200,1200
Tarek,Lanzelotte,F,276,861-3696,CHARLOTTESVILLE,VA,1907,M,N,45000,5.75,0,1800,0
Noel,Mauskar,M,907,412-6864,ALEKNAGIK,AK,1907,M,Y,80000,0,0,0,0
Ingbert,Pelecq,M,503,261-2167,KLAMATH FALLS,OR,1907,M,Y,30000,9,0,318,159
Arupratan,Lorho,M,417,594-6665,SAINT LOUIS,MO,1907,M,N,10000,6,0,4200,0
Meilir,Brutlag,F,970,180-1425,LITTLETON,CO,1907,M,Y,35000,4.63,0,0,0
Vannevar,Lalanne,F,719,644-4172,LYONS,CO,1907,M,Y,70000,4.63,0,0,0
Heekyoung,Hallam,F,401,526-4302,FISKEVILLE,RI,1907,M,Y,5000,0,0,0,0
Swapna,Balluchi,F,307,944-4766,FE WARREN AFB,WY,1907,S,N,90000,0,0,0,0
Cedric,O''Reagan,M,410,712-6906,BALTIMORE,MD,1907,M,Y,100000,4.75,0,4800,2400
Seizaburo,Tardiff,M,860,286-9584,STRATFORD,CT,1907,S,N,30000,5,12750,0,0
Kristy,Iturrioz,F,203,785-7290,WATERBURY,CT,1907,M,Y,55000,5,0,24500,0
Moonwook,Benoit,M,209,424-2916,LOS ANGELES,CA,1907,S,N,25000,5.410157,87,0,0
Dang,Asser,F,939,458-9685,SAN JUAN,PR,1907,S,Y,75000,0,0,0,0
Tomomasa,Newton,F,801,385-6594,SANDY,UT,1907,S,Y,95000,7,2475,0,2475
Declan,Thambidurai,M,603,786-7108,AMHERST,NH,1907,M,N,40000,0,0,0,0
Riqiang,Senzako,M,830,382-8665,TENNESSEE COLONY,TX,1907,S,Y,95000,0,0,0,0
Aahok,Nerjes,M,860,224-7261,ANDOVER,CT,1907,M,Y,60000,5,0,24500,0
Shuling,Jurik,F,423,695-9546,FRUITVALE,TN,1907,S,N,10000,0,0,0,0
Zhixi,Purdy,M,402,875-3642,ROCA,NE,1907,M,Y,90000,6.84,0,206,103
Fahiem,Kruskal,F,830,662-1586,LACKLAND A F B,TX,1907,S,Y,95000,0,0,0,0
Dusanka,Ellozy,M,406,825-7727,SCOBEY,MT,1907,M,N,55000,6.9,0,3800,0
Hrant,Katona,F,518,106-8186,WAWARSING,NY,1907,S,N,25000,4.0984755,0,0,0
Yiwen,Brinkschulte,F,808,363-6905,HONOLULU,HI,1907,M,N,20000,4.644737,0,2080,0
Tomohito,Pinker,M,334,468-6701,PANOLA,AL,1907,M,N,90000,5,0,3000,0
Remy,Spielman,M,316,591-7027,ROCK,KS,1907,S,N,30000,6.45,2250,0,0
Nadjiba,Lucia,M,208,112-7035,BOISE,ID,1907,S,N,45000,7.8,3300,0,0
Miyoki,Arentze,F,947,594-5303,SEBEWAING,MI,1907,M,N,40000,3.9,0,6200,0
Mayuko,Vongsathorn,M,815,619-2386,MARTINTON,IL,1907,M,N,30000,3,0,4000,0
Emily,Rehn,F,719,198-8841,GUNNISON,CO,1907,S,Y,5000,4.63,0,0,0
Badrul,Leonetti,M,307,803-5164,STORY,WY,1907,S,N,60000,0,0,0,0
Iwen,Vecchi,M,202,149-4531,WASHINGTON,DC,1907,M,Y,10000,4.5,0,2740,1370
Olle,Koschel,F,307,952-3514,CASPER,WY,1907,S,N,65000,0,0,0,0
Thiagarajan,Emmerich,F,316,543-3444,ROCK,KS,1907,S,N,45000,6.45,2250,0,0
Motoyasu,Benveniste,F,304,356-3342,HARPERS FERRY,WV,1907,M,Y,60000,6.5,0,4000,2000
Pham,Birsak,F,208,507-1563,PECK,ID,1907,S,Y,100000,7.8,3300,0,3300
Eiichiro,Roizen,F,334,185-3770,GARDEN CITY,AL,1907,S,N,85000,5,1500,0,0
Annika,Samaria,M,469,920-9359,SAN ANTONIO,TX,1907,S,Y,35000,0,0,0,0
Qing,Biagini,M,701,726-8444,MAIDA,ND,1907,S,N,90000,2.7990127,3300,0,0
Kumiko,Estier,M,551,412-6555,BELMAR,NJ,1907,S,N,75000,2.267396,1000,0,0
Genta,Lebrave,M,757,357-2988,ROANOKE,VA,1907,S,Y,65000,5.75,900,0,900
Gregor,Zabel,M,417,900-8028,BRECKENRIDGE,MO,1907,S,Y,75000,6,2100,0,1200
Lubor,Evett,M,260,413-8431,TEFFT,IN,1907,M,N,35000,3.4,0,2000,0
Zhenbing,Simha,F,706,959-7664,ATLANTA,GA,1907,M,Y,100000,6,0,5400,3000
Yehia,Christianson,F,571,252-3367,ROANOKE,VA,1907,M,Y,60000,5.75,0,1800,900
Anca,Ruhleder,F,302,891-9161,LEWES,DE,1907,M,Y,90000,5.95,0,220,110
Cevdet,Therber,M,734,490-3448,HARBERT,MI,1907,M,Y,45000,3.9,0,6200,3100
Sahibsingh,Gluchowski,F,907,212-7975,NOME,AK,1907,M,Y,95000,0,0,0,0
Mihalis,English,F,202,919-9577,WASHINGTON,DC,1907,S,Y,80000,9,1370,0,1370
Hyungill,Wroclawski,M,803,609-3882,SUMTER,SC,1907,M,Y,45000,7,0,6600,3300
Gretchen,Zrehen,M,406,592-4838,BROCKWAY,MT,1907,M,N,10000,4.916379,0,3800,0
Hachidai,Ovrutcki,M,703,622-2584,CARRSVILLE,VA,1907,S,Y,60000,5.75,900,0,900
Rikard,Shemesh,F,406,274-4994,SUMATRA,MT,1907,M,Y,55000,6.9,0,3800,1900
Robb,Cusworth,F,623,603-2963,NOGALES,AZ,1907,M,Y,35000,3.2575,0,4200,2300
Anuchit,Habib,M,732,981-4869,DOVER,NJ,1907,M,Y,70000,2.1885417,0,2000,1500
Yasushi,Ancourt,M,860,965-4074,SALISBURY,CT,1907,M,N,100000,5,0,24500,0
Quang,Zador,M,307,810-9456,MEDICINE BOW,WY,1907,S,Y,90000,0,0,0,0
Etsuya,Sreerama,M,715,215-2567,FONTANA,WI,1907,M,N,50000,5.3151608,0,1400,0
Giorgio,Weischedel,M,406,793-2909,FLORENCE,MT,1907,S,N,90000,6.9,1900,0,0
Guhan,Raghavendra,M,207,773-9513,CROUSEVILLE,ME,1907,M,Y,50000,8.5,0,5700,2850
Raghavan,Vetland,F,479,922-4776,DERMOTT,AR,1907,S,Y,50000,7,20,0,20
Bernold,Thallinger,M,908,487-3940,SOMERSET,NJ,1907,S,Y,35000,1.6365625,1000,0,1500
Knuth,Toledo,F,501,775-3251,OZONE,AR,1907,M,N,70000,7,0,40,0
Takehito,Podilchuk,M,302,737-7663,NASSAU,DE,1907,M,Y,70000,5.95,0,220,110
Zhenbing,Munetoh,F,404,782-1419,MOULTRIE,GA,1907,S,N,95000,6,2700,0,0
Ansgar,Eskicioglu,F,802,848-8417,WEST DOVER,VT,1907,S,N,15000,3.6,3300,0,0
Jayme,Unemi,M,870,136-2501,YELLVILLE,AR,1907,S,Y,5000,1.3826939,20,0,20
Amante,Oberhauser,M,917,870-2811,LEICESTER,NY,1907,M,Y,5000,4,0,0,1000
Fracisco,Poujol,F,334,933-5274,SELMA,AL,1907,S,N,60000,5,1500,0,0
Yossi,Nicaud,M,605,936-1452,ARMOUR,SD,1907,S,N,35000,0,0,0,0
Donna,Herity,M,480,347-1310,FORT THOMAS,AZ,1907,S,N,70000,3.8,2100,0,0
Dongseung,Bolliger,F,712,121-1418,GOOSE LAKE,IA,1907,M,N,45000,7.111101,0,80,0
Clyde,Streicher,F,276,137-3435,NORTON,VA,1907,M,N,85000,5.75,0,1800,0
Chaitanya,Karedla,M,406,629-5615,BILLINGS,MT,1907,M,Y,100000,6.9,0,3800,1900
Yasuichi,Sereno,M,859,740-5321,OWINGSVILLE,KY,1907,M,Y,30000,3.5,0,40,20
Danielle,Mokryn,F,989,799-3416,ROCKWOOD,MI,1907,S,N,25000,3.9,3100,0,0
Talia,Khachiyan,F,859,786-7777,KEENE,KY,1907,M,N,20000,2.9444444,0,40,0
Liehuey,Polster,F,360,712-3790,PASCO,WA,1907,S,Y,5000,0,0,0,0
Arif,Janetzko,F,985,459-2422,LAKE CHARLES,LA,1907,M,Y,60000,6,0,9000,1000
Xiangfeng,Preteux,F,870,842-2267,CASA,AR,1907,S,N,85000,7,20,0,0
Keiichiro,Rosay,F,860,302-1720,STAMFORD,CT,1907,M,Y,25000,5,0,24500,0
Masami,Keeffe,M,808,433-7752,EWA BEACH,HI,1907,M,N,80000,8.25,0,2080,0
Genoveffa,McQuire,F,406,885-5530,COOKE CITY,MT,1907,S,Y,35000,6.9,1900,0,1900
Wessel,Collaud,F,307,291-6655,FOUR CORNERS,WY,1907,S,Y,35000,0,0,0,0
Onkar,Aponte,F,302,325-6486,WILMINGTON,DE,1907,M,Y,20000,3.2227273,0,220,110
Toshio,Higginson,M,203,982-3164,GILMAN,CT,1907,S,N,25000,5,12750,0,0
Yacine,Dress,F,307,153-2859,DEAVER,WY,1907,M,Y,15000,0,0,0,0
Izaskun,Cucka,F,947,258-3743,GOWEN,MI,1907,S,Y,25000,3.9,3100,0,3100
Krisda,Coover,F,864,693-3986,LYNCHBURG,SC,1907,M,Y,85000,7,0,6600,3300
Stacey,Ciampi,F,715,362-5512,BAILEYS HARBOR,WI,1907,M,N,65000,5.575788,0,1400,0
Gajanana,Halgason,F,334,423-6884,BRANTLEY,AL,1907,S,Y,10000,5,1500,0,300
Suleyman,Lavie,M,706,357-4275,ATLANTA,GA,1907,M,Y,100000,6,0,5400,3000
Yogesh,Stage,M,775,567-3663,LAMOILLE,NV,1907,S,Y,25000,0,0,0,0
Sefeng,Cesareni,M,816,764-9872,SAINT LOUIS,MO,1907,S,N,5000,3.75,2100,0,0
Sivanarayana,Dicky,M,619,193-5805,YORBA LINDA,CA,1907,M,Y,30000,6.590543,0,174,272
Eenjan,Schalk,F,607,521-4800,PALENVILLE,NY,1907,M,N,55000,4.272256,0,0,0
Melchior,Cippico,M,304,561-5793,BIG SPRINGS,WV,1907,M,Y,90000,6.5,0,4000,2000
Konstantinos,Bashian,M,208,709-5775,LAVA HOT SPRINGS,ID,1907,S,Y,85000,7.8,3300,0,3300
Helga,Viehstaedt,F,401,793-5981,PRUDENCE ISLAND,RI,1907,M,N,40000,0,0,0,0
Yinyu,Ushiama,M,913,896-4071,OLATHE,KS,1907,S,N,75000,6.45,2250,0,0
Karina,Blinzer,F,423,943-3250,SHILOH,TN,1907,M,N,70000,0,0,0,0
Jin,Schroff,M,304,745-2143,MARTINSBURG,WV,1907,S,N,35000,4.75,2000,0,0
Karoline,Huxford,M,602,553-2971,TEMPE,AZ,1907,M,Y,85000,4.0325,0,4200,2300
Miheko,Leathers,M,267,747-5693,DUNBAR,PA,1907,M,Y,100000,3.07,0,0,0
Murlikrishna,Nishanov,M,939,383-2474,LUQUILLO,PR,1907,M,N,5000,0,0,0,0
Djamal,Ouhyoung,M,307,706-4496,SAVERY,WY,1907,S,Y,90000,0,0,0,0
Marzena,Maldonado,F,913,105-7503,MAPLE HILL,KS,1907,M,Y,15000,3.5,0,4500,2250
Mariangiola,Lipner,M,202,404-3795,WASHINGTON,DC,1907,S,N,75000,9,1370,0,0
Travis,Wehrenberg,F,636,935-1719,GRANGER,MO,1907,M,Y,15000,6,0,4200,1200
Tunhow,Haselbock,M,952,132-4389,UNDERWOOD,MN,1907,S,N,95000,7.85,3300,0,0
Cedric,Oppitz,M,505,906-9336,LINDRITH,NM,1907,S,Y,70000,5.3,3300,0,3300
Leucio,Krauser,M,334,607-8168,LAPINE,AL,1907,M,N,55000,5,0,3000,0
Elisa,d''Argence,M,208,476-1187,HOPE,ID,83836,M,Y,55000,7.8,0,6600,3300
Jaehyung,D''Amiano,M,609,309-3633,SAYREVILLE,NJ,8872,S,N,10000,1.4,1000,0,0
Oystein,Give''on,M,845,476-4229,MERIDIAN,NY,13113,S,N,85000,4.4460363,0,0,0
Fukumi,O''Boyle,F,580,377-2271,COLLINSVILLE,OK,74021,S,N,45000,6.25,1000,0,0
Yennun,O''Donoghue,F,208,518-6174,CARMEN,ID,83462,M,N,85000,7.8,0,6600,0
Bjajesh,D''Auria,F,702,648-7004,RENO,NV,89504,M,Y,55000,0,0,0,0
Guang,O''Young,M,402,557-8316,PALISADE,NE,69040,M,N,90000,6.84,0,206,0
Byron,d''Astous,M,808,160-5912,CAPTAIN COOK,HI,96704,S,N,75000,8.25,1040,0,0
Chendong,d''Acierno,F,417,723-3383,SAINT LOUIS,MO,63121,S,Y,45000,6,2100,0,1200
Guoqiang,D''Agostino,M,603,332-6783,NEWPORT,NH,3773,S,N,5000,0,0,0,0
Cun,d''Alcantara,M,931,936-5869,DRESDEN,TN,38225,M,Y,95000,0,0,0,0
Sophia,D''Agostino,F,205,987-8050,ANDALUSIA,AL,36420,M,N,40000,5,0,3000,0
Daron,D''Ambra,F,520,465-2979,GLENDALE,AZ,85306,M,N,50000,3.49,0,4200,0
Henda,d''Astous,M,574,252-5051,PALMYRA,IN,47164,M,N,60000,3.4,0,2000,0
Cedric,O''Reagan,M,410,712-6906,BALTIMORE,MD,1907,M,Y,100000,4.75,0,4800,2400
Pentti,D''Hooge,F,308,197-8097,LONG PINE,NE,69217,S,N,40000,6.84,103,0,0
Siba,D''Amiano,F,580,188-7033,AGRA,OK,74824,S,N,40000,6.25,1000,0,0
Jurjen,D''Hooge,F,334,487-4131,MOBILE,AL,36690,S,N,85000,5,1500,0,300
Wenyu,Il''in,F,234,578-2841,HIGGINSPORT,OH,45131,M,N,75000,3.0356412,0,2600,0
Tilo,D''Aloisi,F,509,872-5881,SATSOP,WA,98583,S,Y,65000,0,0,0,0
